"Country","Issuer","Currency","Face value","Reference","N# number (with link)","Title","Type","Year range","Shape","Composition","Weight","Diameter","Thickness","Year","Gregorian year","Mintmark","Quantity","Grade","Collection","Public comment"
"Albania","Albania","New lek (1965-date)","50","KM# 79","N# 2876","50 Lekë","Standard circulation coin","1996-2020","Round","Copper-nickel","5.5","24.25","1.5","2000","2000","","1","VF","Europe",""
"Algeria","Algeria","Dinar (1964-date)","20","KM# 125","N# 596","20 Dinars","Standard circulation coin","1992-2021","Round","Bimetallic: brass center in stainless steel ring","8.62","27.5","2.07","1430","2009","","1","VF","World Coins / Other",""
"Angola","Angola","Escudo (1958-1977)","0.5","KM# 75","N# 2677","50 Centavos","Standard circulation coin","1953-1961","Round","Bronze","4","20","1.7","1954","1954","","1","VF","World Coins / Other",""
"Angola","Angola","Escudo (1958-1977)","1","KM# 76","N# 2932","1 Escudo","Standard circulation coin","1953-1974","Round","Bronze","8","26","2","1956","1956","","1","VF","World Coins / Other",""
"Angola","Angola","Escudo (1958-1977)","2.5","KM# 77","N# 2933","2½ Escudos","Standard circulation coin","1953-1974","Round","Copper-nickel","3.5","20","1.46","1953","1953","","1","F","World Coins / Other",""
"Argentina","Argentina","Peso convertible (1992-date)","1","KM# 112","N# 2217","1 Peso","Standard circulation coin","1994-2016","Round","Bimetallic: aluminium-bronze center in copper-nickel ring (Cu 92 Al 6 Ni 2 - Cu 75 Ni 25)","6.4","23","2.2","2007","2007","","1","VF","South America / Caribbean",""
"Armenia","Armenia","Dram (1993-date)","10","KM# 58","N# 3068","10 Dram","Standard circulation coin","1994","Round","Aluminium","2.3","28","1.6","1994","1994","","1","VF","World Coins / Other",""
"Armenia","Armenia","Dram (1993-date)","50","KM# 94","N# 3558","50 Dram","Standard circulation coin","2003","Round","Brass plated steel","3.45","21.5","1.45","2003","2003","","1","VF","World Coins / Other",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 43","N# 1561","1 Penny - George VI (without ""IND:IMP"")","Standard circulation coin","1949-1952","Round","Bronze","9.45","30.8","1.9","1952","1952","•","1","F","North America / Oceania",""
"Australia","Australia","Dollar (1966-date)","0.01","KM# 62","N# 1559","1 Cent - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Bronze","2.59","17.53","1.5","1966","1966","","1","VF","North America / Oceania",""
